"x"	"name"	"area"
"http://rdf.freebase.com/ns/en.tyumen_oblast"	"Tyumen Oblast"	1435200
"http://rdf.freebase.com/ns/en.saint_lawrence_river"	"Saint Lawrence River"	1344200
"http://rdf.freebase.com/ns/en.mata_atlantica"	"Atlantic Forest"	1315460
"http://rdf.freebase.com/ns/en.great_plains"	"Great Plains"	1300000
"http://rdf.freebase.com/ns/en.gobi_desert"	"Gobi Desert"	1295000
"http://rdf.freebase.com/ns/en.peru"	"Peru"	1285216
"http://rdf.freebase.com/ns/en.chad"	"Chad"	1284000
"http://rdf.freebase.com/ns/en.niger"	"Niger"	1267000
"http://rdf.freebase.com/ns/m.01hdnp"	"Pará"	1247689.5
"http://rdf.freebase.com/ns/en.angola"	"Angola"	1246700
"http://rdf.freebase.com/ns/en.mali"	"Mali"	1240192
"http://rdf.freebase.com/ns/en.south_africa"	"South Africa"	1221037
"http://rdf.freebase.com/ns/en.colombia"	"Colombia"	1141748
"http://rdf.freebase.com/ns/en.northwest_territories"	"Northwest Territories"	1140835
"http://rdf.freebase.com/ns/en.kashgar_prefecture"	"Kashgar Prefecture"	1120057
"http://rdf.freebase.com/ns/en.ethiopia"	"Ethiopia"	1104300
"http://rdf.freebase.com/ns/en.bolivia"	"Bolivia"	1098581
"http://rdf.freebase.com/ns/en.himalayas"	"Himalayas"	1089133
"http://rdf.freebase.com/ns/en.ontario"	"Ontario"	1076395
"http://rdf.freebase.com/ns/en.patagonia"	"Patagonia"	1043076
"http://rdf.freebase.com/ns/en.mauritania"	"Mauritania"	1030700
"http://rdf.freebase.com/ns/en.egypt"	"Egypt"	1002450
"http://rdf.freebase.com/ns/en.rocky_mountains"	"Rocky Mountains"	991691
"http://rdf.freebase.com/ns/en.south_australia"	"South Australia"	984377
"http://rdf.freebase.com/ns/en.sea_of_japan"	"Sea of Japan"	977979.51
"http://rdf.freebase.com/ns/en.unorganized_borough"	"Unorganized Borough, Alaska"	970500
"http://rdf.freebase.com/ns/en.tanzania"	"Tanzania"	945203
"http://rdf.freebase.com/ns/en.british_columbia"	"British Columbia"	944735
"http://rdf.freebase.com/ns/en.kalahari_desert"	"Kalahari Desert"	930000
